characters,text,volume,part,chapter
Николай Ростов; Марья; Пьер Безухов; Наташа,"После поступления Пети в полк казаков Оболенского и отъезда его в Белую Церковь, где формировался этот полк, на графиню нашел страх. Мысль о том, что оба ее сына находятся на войне, что оба они ушли из-под ее крыла, что нынче или завтра каждый из них, а может быть, и оба вместе, как три сына одной ее знакомой, могут быть убиты, в первый раз теперь, в это лето, с жестокой ясностью пришла ей в голову. Она пыталась вытребовать к себе Николая, хотела сама ехать к Пете, определить его куда-нибудь в Петербурге, но и то и другое оказывалось невозможным. Петя не мог быть возвращен иначе, как вместе с полком или посредством перевода в другой действующий полк. Николай находился где-то в армии и после своего последнего письма, в котором подробно описывал свою встречу с княжной Марьей, не давал о себе слуха. Графиня не спала ночей и, когда засыпала, видела во сне убитых сыновей. После многих советов и переговоров граф придумал, наконец, средство для успокоения графини. Он перевел Петю из полка Оболенского в полк Безухова, который формировался под Москвою. Хотя Петя и оставался в военной службе, но при этом переводе графиня имела утешенье видеть хотя одного сына у себя под крылышком и надеялась устроить своего Петю так, чтобы больше не выпускать его и записывать всегда в такие места службы, где бы он никак не мог попасть в сражение. Пока один Nicolas был в опасности, графине казалось (и она даже каялась в этом), что она любит старшего больше всех остальных детей; но когда меньшой, шалун, дурно учившийся, все ломавший в доме и всем надоевший Петя, этот курносый Петя, с своими веселыми черными глазами, свежим румянцем и чуть пробивающимся пушком на щеках, попал туда, к этим большим, страшным, жестоким мужчинам, которые там что-то сражаются и что-то в этом находят РАДОСТНОГО, — тогда матери показалось, что его-то она любила больше, гораздо больше всех своих детей. Чем ближе подходило то время, когда должен был вернуться в Москву ожидаемый Петя, тем более увеличивалось беспокойство графини. Она думала уже, что никогда не дождется этого СЧАСТИЯ. Присутствие не только Сопи, но и любимой Наташи, даже мужа, раздражало графиню. «Что мне за дело до них, мне никого не нужно, кроме Пети!» — думала она.",Том третий,Часть третья,XII
Пьер Безухов; Наташа,"— Что? Что? Зачем? Не спрашивайте у меня, — сказал Пьер и оглянулся на Наташу, сияющий, РАДОСТНЫЙ взгляд которой (он чувствовал это, не глядя на нее) обдавал его своей прелестью.",Том третий,Часть третья,XVII
Пьер Безухов; Наташа,"В разоренной и сожженной Москве Пьер испытал почти крайние пределы лишений, которые может переносить человек; но, благодаря своему сильному сложению и здоровью, которого он не сознавал до сих пор, и в особенности благодаря тому, что эти лишения подходили так незаметно, что нельзя было сказать, когда они начались, он переносил не только легко, но и РАДОСТНО свое положение. И именно в это-то самое время он получил то спокойствие и довольство собой, к которым он тщетно стремился прежде. Он долго в своей жизни искал с разных сторон этого успокоения, согласия с самим собою, того, что так поразило его в солдатах в Бородинском сражении, — он искал этого в филантропии, в масонстве, в рассеянии светской жизни, в вине, в геройском подвиге самопожертвования, в романтической любви к Наташе; он искал этого путем мысли, и все эти искания и попытки все обманули его. И он, сам не думая о том, получил это успокоение и это согласие с самим собою только через ужас смерти, через лишения и через то, что он понял в Каратаеве. Те страшные минуты, которые он пережил во время казни, как будто смыли навсегда из его воображения и воспоминания тревожные мысли и чувства, прежде казавшиеся ему важными. Ему не приходило и мысли ни о России, ни о войне, ни о политике, ни о Наполеоне. Ему очевидно было, что все это не касалось его, что он не призван был и потому не мог судить обо всем этом. «России да лету — союзу нету», — повторял он слова Каратаева, и эти слова странно успокоивали его. Ему казалось теперь непонятным и даже смешным его намерение убить Наполеона и его вычисления о кабалистическом числе и звере Апокалипсиса. Озлобление его против жены и тревога о том, чтобы не было посрамлено его имя, теперь казались ему не только ничтожны, но забавны. Что ему было за дело до того, что эта женщина вела там где-то ту жизнь, которая ей нравилась? Кому, в особенности ему, какое дело было до того, что узнают или не узнают, что имя их пленного было граф Безухов?",Том четвертый,Часть вторая,XII
Марья; Пьер Безухов,"В отношениях своих с Вилларским, с княжною, с доктором, со всеми людьми, с которыми он встречался теперь, в Пьере была новая черта, заслуживавшая ему расположение всех людей: это признание возможности каждого человека думать, чувствовать и смотреть на вещи по-своему; признание невозможности словами разубедить человека. Эта законная особенность каждого человека, которая прежде волновала и раздражала Пьера, теперь составляла основу участия и интереса, которые он принимал в людях. Различие, иногда совершенное противоречие взглядов людей с своею жизнью и между собою, РАДОВАЛО Пьера и вызывало в нем насмешливую и кроткую улыбку.",Том четвертый,Часть четвертая,XIII
Марья; Пьер Безухов,"Через несколько минут к Пьеру вышли официант и Десаль. Десаль от имени княжны передал Пьеру, что она очень РАДА видеть его и просит, если он извинит ее за бесцеремонность, войти наверх, в ее комнаты.",Том четвертый,Часть четвертая,XV
Марья; Пьер Безухов,"— Я так была РАДА, узнав о вашем спасенье. Это было единственное РАДОСТНОЕ известие, которое мы получили с давнего времени. — Опять еще беспокойнее княжна оглянулась на компаньонку и хотела что-то сказать; но Пьер перебил ее.",Том четвертый,Часть четвертая,XV
Марья; Пьер Безухов; Наташа,"«Но нет, это не может быть, — подумал он. — Это строгое, худое и бледное, постаревшее лицо? Это не может быть она. Это только воспоминание того». Но в это время княжна Марья сказала: «Наташа». И лицо, с внимательными глазами, с трудом, с усилием, как отворяется заржавелая дверь, — улыбнулось, и из этой растворенной двери вдруг пахнуло и обдало Пьера тем давно забытым СЧАСТИЕМ, о котором, в особенности теперь, он не думал. Пахнуло, охватило и поглотило его всего. Когда она улыбнулась, уже не могло быть сомнений: это была Наташа, и он любил ее.",Том четвертый,Часть четвертая,XV
Марья; Пьер Безухов,"В первую же минуту Пьер невольно и ей, и княжне Марье, и, главное, самому себе сказал неизвестную ему самому тайну. Он покраснел РАДОСТНО и страдальчески болезненно. Он хотел скрыть свое волнение. Но чем больше он хотел скрыть его, тем яснее — яснее, чем самыми определенными словами, — он себе, и ей, и княжне Марье говорил, что он любит ее.",Том четвертый,Часть четвертая,XV
Марья; Пьер Безухов; Наташа,"«Нет, это так, от неожиданности», — подумал Пьер. Но только что он хотел продолжать начатый разговор с княжной Марьей, он опять взглянул на Наташу, и еще сильнейшая краска покрыла его лицо, и еще сильнейшее волнение РАДОСТИ и страха охватило его душу.",Том четвертый,Часть четвертая,XV
Марья; Пьер Безухов,"— Да, да, так, так... — говорил Пьер, нагнувшись вперед всем телом над княжной Марьей и жадно вслушиваясь в ее рассказ. — Да, да; так он успокоился? смягчился? Он так всеми силами души всегда искал одного: быть вполне хорошим, что он не мог бояться смерти. Недостатки, которые были в нем, — если они были, — происходили не от него. Так он смягчился? — говорил Пьер. — Какое СЧАСТЬЕ, что он свиделся с вами, — сказал он Наташе, вдруг обращаясь к ней и глядя на нее полными слез глазами.",Том четвертый,Часть четвертая,XVI
Марья; Пьер Безухов; Наташа,"Пьера провели в освещенную большую столовую; через несколько минут послышались шаги, и княжна с Наташей вошли в комнату. Наташа была спокойна, хотя строгое, без улыбки, выражение теперь опять установилось на ее лице. Княжна Марья, Наташа и Пьер одинаково испытывали то чувство неловкости, которое следует обыкновенно за оконченным серьезным и задушевным разговором. Продолжать прежний разговор невозможно; говорить о пустяках — совестно, а молчать неприятно, потому что хочется говорить, а этим молчанием как будто притворяешься. Они молча подошли к столу. Официанты отодвинули и пододвинули стулья. Пьер развернул холодную салфетку и, решившись прервать молчание, взглянул на Наташу и княжну Марью. Обе, очевидно, в то же время решились на то же: у обеих в глазах светилось довольство жизнью и признание того, что, кроме горя, есть и РАДОСТИ.",Том четвертый,Часть четвертая,XVII
Марья; Пьер Безухов; Наташа,"— Нет, — отвечал Пьер, не найдя, очевидно, неловким то толкование, которое дала княжна Марья его упоминанию о своей свободе. — Я узнал это в Орле, и вы не можете себе представить, как меня это поразило. Мы не были примерные супруги, — сказал он быстро, взглянув на Наташу и заметив в лице ее любопытство о том, как он отзовется о своей жене. — Но смерть эта меня страшно поразила. Когда два человека ссорятся — всегда оба виноваты. И своя вина делается вдруг страшно тяжела перед человеком, которого уже нет больше. И потом такая смерть... без друзей, без утешения. Мне очень, очень жаль ее, — кончил он и с удовольствием заметил РАДОСТНОЕ одобрение на лице Наташи.",Том четвертый,Часть четвертая,XVII
Марья; Пьер Безухов; Наташа,"Княжна Марья понимала рассказ, сочувствовала ему, но она теперь видела другое, что поглощало все ее внимание; она видела возможность любви и СЧАСТИЯ между Наташей и Пьером. И в первый раз пришедшая ей эта мысль наполняла ее душу РАДОСТИЮ.",Том четвертый,Часть четвертая,XVII
Марья; Пьер Безухов; Наташа,"Пьер кончил свой рассказ. Наташа блестящими, оживленными глазами продолжала упорно и внимательно глядеть на Пьера, как будто желая понять еще то остальное, что он не высказал, может быть. Пьер в стыдливом и СЧАСТЛИВОМ смущении изредка взглядывал на нее и придумывал, что бы сказать теперь, чтобы перевести разговор на другой предмет. Княжна Марья молчала. Никому в голову не приходило, что три часа ночи и что пора спать.",Том четвертый,Часть четвертая,XVII
Пьер Безухов; Наташа,"— Говорят: несчастия, страдания, — сказал Пьер. — Да ежели бы сейчас, сию минуту мне сказали; хочешь оставаться, чем ты был до плена, или сначала пережить все это? Ради Бога, еще раз плен и лошадиное мясо. Мы думаем, как нас выкинет из привычной дорожки, что все пропало; а тут только начинается новое, хорошее. Пока есть жизнь, есть и СЧАСТЬЕ. Впереди много, много. Это я вам говорю, — сказал он, обращаясь к Наташе.",Том четвертый,Часть четвертая,XVII
Марья; Пьер Безухов; Наташа,"На другой день Пьер приехал рано, обедал и просидел весь вечер. Несмотря на то, что княжна Марья и Наташа были очевидно РАДЫ гостю; несмотря На то, что весь интерес жизни Пьера сосредоточивался теперь в этом доме, к вечеру они всё переговорили, и разговор переходил беспрестанно с одного ничтожного предмета на другой и часто прерывался. Пьер засиделся в этот вечер так поздно, что княжна Марья и Наташа переглядывались между собою, очевидно ожидая, скоро ли он уйдет. Пьер видел это и не мог уйти. Ему становилось тяжело, неловко, но он все сидел, потому что не мог подняться и уйти.",Том четвертый,Часть четвертая,XVIII
Марья; Пьер Безухов,"— Нет, это не может быть! Как я СЧАСТЛИВ! Но это не может быть... Как я СЧАСТЛИВ! Нет, не может быть! — говорил Пьер, целуя руки княжны Марьи.",Том четвертый,Часть четвертая,XVIII
Пьер Безухов; Наташа,"На другой день Пьер приехал проститься. Наташа была менее оживлена, чем в прежние дни; но в этот день, иногда взглянув ей в глаза, Пьер чувствовал, что он исчезает, что ни его, ни ее нет больше, а есть одно чувство СЧАСТЬЯ. «Неужели? Нет, не может быть», — говорил он себе при каждом ее взгляде, жесте, слове, наполнявших его душу РАДОСТЬЮ.",Том четвертый,Часть четвертая,XVIII
Пьер Безухов; Наташа,"С первого того вечера, когда Наташа, после отъезда Пьера, с РАДОСТНО-насмешливой улыбкой сказала княжне Марье, что он точно, ну точно из бани, и сюртучок, и стриженый, с этой минуты что-то скрытое и самой ей неизвестное, но непреодолимое проснулось в душе Наташи.",Том четвертый,Часть четвертая,XX
Марья; Пьер Безухов; Наташа,"Все: лицо, походка, взгляд, голос — все вдруг изменилось в ней. Неожиданные для нее самой — сила жизни, надежды на СЧАСТЬЕ всплыли наружу и требовали удовлетворения. С первого вечера Наташа как будто забыла все то, что с ней было. Она с тех пор ни разу не пожаловалась на свое положение, ни одного слова не сказала о прошедшем и не боялась уже делать веселые планы на будущее. Она мало говорила о Пьере, но когда княжна Марья упоминала о нем, давно потухший блеск зажигался в ее глазах и губы морщились странной улыбкой.",Том четвертый,Часть четвертая,XX
Пьер Безухов; Наташа,"— Приехал! — проговорила она ему на бегу, и Денисов почувствовал, что он был в ВОСТОРГЕ от того, что приехал Пьер, которого он очень мало любил. Вбежав в переднюю, Наташа увидала высокую фигуру в шубе, разматывающую шарф.",Эпилог,Часть первая,XI
Николай Ростов; Пьер Безухов,"Когда Николай с женою пришли отыскивать Пьера, он был в детской и держал на своей огромной правой ладони проснувшегося грудного сына и тетёшкал его. На широком лице его с раскрытым беззубым ртом остановилась веселая улыбка. Буря уже давно вылилась, и яркое, РАДОСТНОЕ солнце сияло на лице Наташи, умиленно смотревшей на мужа и сына.",Эпилог,Часть первая,XI
Николай Ростов; Марья; Пьер Безухов; Наташа,"Николенька, который был теперь пятнадцатилетний худой, с вьющимися русыми волосами и прекрасными глазами, болезненный, умный мальчик, РАДОВАЛСЯ потому, что дядя Пьер, как он называл его, был предметом его восхищения и страстной любви. Никто не внушал Николеньке особенной любви к Пьеру, и он только изредка видал его. Воспитательница его, графиня Марья, все силы употребляла, чтобы заставить Николеньку любить ее мужа так же, как она его любила, и Николенька любил дядю; но любил с чуть заметным оттенком презрения. Пьера же он обожал. Он не хотел быть ни гусаром, ни георгиевским кавалером, как дядя Николай, он хотел быть ученым, умным и добрым, как Пьер. В присутствии Пьера на его лице было всегда РАДОСТНОЕ сияние, и он краснел и задыхался, когда Пьер обращался к нему. Он не проранивал ни одного слова из того, что говорил Пьер и потом с Десалем и сам с собою вспоминал и соображал значение каждого слова Пьера. Прошедшая жизнь Пьера, его несчастия до 12-го года (о которых он из слышанных слов составил себе смутное поэтическое представление), его приключения в Москве, плен, Платон Каратаев (о котором он слыхал от Пьера), его любовь к Наташе (которую тоже особенною любовью любил мальчик) и, главное, его дружба к отцу, которого не помнил Николенька, — все это делало для него из Пьера героя и святыню.",Эпилог,Часть первая,XII
Пьер Безухов; Наташа,"Из прорывавшихся речей об его отце и Наташе, из того волнения, с которым говорил Пьер о покойном, из той осторожной, благоговейной нежности, с которой Наташа говорила о нем же, мальчик, только что начинавший догадываться о любви, составил себе понятие о том, что отец его любил Наташу и завещал ее, умирая, своему другу. Отец же этот, которого не помнил мальчик, представлялся ему божеством, которого нельзя было себе вообразить и о котором он иначе не думал, как с замиранием сердца и слезами грусти и ВОСТОРГА. И мальчик был СЧАСТЛИВ вследствие приезда Пьера.",Эпилог,Часть первая,XII
Николай Ростов; Марья; Пьер Безухов; Наташа,"— Готово, готово! — послышался из-за всех РАДОСТНЫЙ вопль маленькой Наташи. Пьер переглянулся с графиней Марьей и Николаем (Наташу он всегда видел) и СЧАСТЛИВО улыбнулся.",Эпилог,Часть первая,XIII
Марья; Пьер Безухов,"— Ma tante, позвольте мне остаться, — сказал Николенька, подходя к тетке. Лицо его выражало мольбу, волнение и ВОСТОРГ. Графиня Марья поглядела на него и обратилась к Пьеру.",Эпилог,Часть первая,XIV
Пьер Безухов; Наташа,"Наташа, вошедшая в середине разговора в комнату, РАДОСТНО смотрела на мужа. Она не РАДОВАЛАСЬ тому, что он говорил. Это даже не интересовало ее, потому что ей казалось, что все это было чрезвычайно просто и что она все это давно знала (ей казалось это потому, что она знала то, из чего все это выходило, — всю душу Пьера). Но она РАДОВАЛАСЬ, глядя на его оживленную, ВОСТОРЖЕННУЮ фигуру.",Эпилог,Часть первая,XIV
Николай Ростов; Пьер Безухов,"— Ну уж, кажется, тебе себя упрекать за него нечего. Все, что может сделать самая нежная мать для своего сына, ты делала и делаешь для его. И я, разумеется, РАД этому. Он славный, славный мальчик. Нынче он в каком-то беспамятстве слушал Пьера. И можешь себе представить: мы выходим к ужину; я смотрю, он изломал вдребезги у меня все на столе и сейчас же сказал. Я никогда не видал, чтоб он сказал неправду. Славный, славный мальчик! — повторил Николай, которому по душе не нравился Николенька, но которого ему всегда бы хотелось признавать славным.",Эпилог,Часть первая,XV
Пьер Безухов; Наташа,"Они замолчали на несколько секунд. Потом вдруг в одно и то же время повернулись друг к другу и начали что-то говорить. Пьер начал с самодовольствием и увлечением; Наташа — с тихой, СЧАСТЛИВОЙ улыбкой. Столкнувшись, они оба остановились, давая друг другу дорогу.",Эпилог,Часть первая,XVI
Николай Ростов; Пьер Безухов,"В это же время внизу, в отделении Николеньки Болконского, в его спальне, как всегда, горела лампадка (мальчик боялся темноты, и его не могли отучить от этого недостатка). Десаль спал высоко на своих четырех подушках, и его римский нос издавал равномерные звуки храпенья. Николенька, только что проснувшись, в холодном поту, с широко раскрытыми глазами, сидел на своей постели и смотрел перед собой. Страшный сон разбудил его. Он видел во сне себя и Пьера в касках — таких, которые были нарисованы в издании Плутарха. Они с дядей Пьером шли впереди огромного войска. Войско это было составлено из белых косых линий, наполнявших воздух подобно тем паутинам, которые летают осенью и которые Десаль называл le fil de la Vierge 2. Впереди была слава, такая же, как и эти нити, но только несколько плотнее. Они — он и Пьер — неслись легко и РАДОСТНО все ближе и ближе к цели. Вдруг нити, которые двигали их, стали ослабевать, путаться; стало тяжело. И дядя Николай Ильич остановился перед ними в грозной и строгой позе.",Эпилог,Часть первая,XVI
Николай Ростов; Наташа,"Два молодых человека, студент и офицер, друзья с детства, были одних лет и оба красивы, но не похожи друг на друга. Борис был высокий белокурый юноша с правильными тонкими чертами спокойного и красивого лица. Николай был невысокий курчавый молодой человек с открытым выражением лица. На верхней губе его уже показывались черные волосики, и во всем лице выражались стремительность и ВОСТОРЖЕННОСТЬ. Николай покраснел, как только вошел в гостиную. Видно было, что он искал и не находил, что сказать; Борис, напротив, тотчас же нашелся и рассказал спокойно, шутливо, как эту Мими, куклу, он знал еще молодою девицей с не испорченным еще носом, как она в пять лет на его памяти состаре́лась и как у ней по всему черепу треснула голова. Сказав это, он взглянул на Наташу. Наташа отвернулась от него, взглянула на младшего брата, который, зажмурившись, трясся от беззвучного смеха, и, не в силах более удерживаться, прыгнула и побежала из комнаты так скоро, как только могли нести ее быстрые ножки. Борис не рассмеялся.",Том первый,Часть первая,VIII
Николай Ростов; Наташа; Соня,"— Ежели бы вы мне сказали давно, маменька, я бы тотчас ушла, — сказала она и пошла в свою комнату. Но, проходя мимо диванной, она заметила, что в ней у двух окошек симметрично сидели две пары. Она остановилась и презрительно улыбнулась. Соня сидела близко подле Николая, который переписывал ей стихи, в первый раз сочиненные им. Борис с Наташей сидели у другого окна и замолчали, когда вошла Вера. Соня и Наташа с виноватыми и СЧАСТЛИВЫМИ лицами взглянули на Веру.",Том первый,Часть первая,XI
Соня; Наташа,"— Ах, Наташа! — сказала Соня ВОСТОРЖЕННО и серьезно, не глядя на свою подругу, как будто она считала ее недостойною слышать то, что она намерена была сказать, и как будто она говорила это кому-то другому, с кем нельзя шутить. — Я полюбила раз твоего брата, и, что бы ни случилось с ним, со мной, я никогда не перестану любить его — во всю жизнь.",Том первый,Часть третья,VI
Николай Ростов; Наташа,"Ростов, забыв совершенно о Денисове, не желая никому дать предупредить себя, скинул шубу и на цыпочках побежал в темную большую залу. Все то же — те же ломберные столы, та же люстра в чехле; но кто-то уж видел молодого барина, и не успел он добежать до гостиной, как что-то стремительно, как буря, вылетело из боковой двери и обняло и стало целовать его. Еще другое, третье такое же существо выскочило из другой, третьей двери; еще объятия, еще поцелуи, еще крики, слезы РАДОСТИ. Он не мог разобрать, где и кто папа, кто Наташа, кто Петя. Все кричали, говорили и целовали его в одно и то же время. Только матери не было в числе их — это он помнил.",Том второй,Часть первая,I
Николай Ростов; Наташа; Соня,"Ростов поспешно обулся, надел халат и вышел. Наташа надела один сапог со шпорой и влезала в другой. Соня кружилась и только что хотела раздуть платье и присесть, когда он вышел. Обе были в одинаковых, новеньких, голубых платьях — свежие, румяные, веселые. Соня убежала, а Наташа, взяв брата под руку, повела его в диванную, и у них начался разговор. Они не успевали спрашивать друг друга и отвечать на вопросы о тысячах мелочей, которые могли интересовать только их одних. Наташа смеялась при всяком слове, которое он говорил и которое она говорила, не потому, что было смешно то, что они говорили, но потому, что ей было весело и она не в силах была удерживать своей РАДОСТИ, выражавшейся смехом.",Том второй,Часть первая,I
Николай Ростов; Наташа; Соня,"И Наташа встала на цыпочках и прошлась из комнаты так, как делают танцовщицы, но улыбаясь так, как только улыбаются СЧАСТЛИВЫЕ пятнадцатилетние девочки. Встретившись в гостиной с Соней, Ростов покраснел. Он не знал, как обойтись с ней. Вчера они поцеловались в первую минуту РАДОСТИ свидания, но нынче он чувствовал, что нельзя было этого сделать; он чувствовал, что все, и мать и сестры, смотрели на него вопросительно и от него ожидали, как он поведет себя с нею. Он поцеловал ее руку и назвал ее вы — Соня. Но глаза их, встретившись, сказали друг другу «ты» и нежно поцеловались. Она просила своим взглядом у него прощенья за то, что в посольстве Наташи она смела напомнить ему о его обещании, и благодарила его за его любовь. Он своим взглядом благодарил ее за предложение свободы и говорил, что, так ли, иначе ли, он никогда не перестанет любить ее, потому что нельзя не любить ее.",Том второй,Часть первая,I
Николай Ростов; Наташа; Соня,"Осенью семейство Ростовых вернулось в Москву. В начале зимы вернулся и Денисов и остановился у Ростовых. Это первое время зимы 1806 года, проведенное Николаем Ростовым в Москве, было одно из самых СЧАСТЛИВЫХ и веселых для него и для всего его семейства. Николай привлек с собой в дом родителей много молодых людей. Вера была двадцатилетняя красивая девица; Соня шестнадцатилетняя девушка во всей прелести только распустившегося цветка; Наташа полубарышня, полудевочка, то детски смешная, то девически обворожительная.",Том второй,Часть первая,X
Николай Ростов; Наташа,"Когда пришел опять черед Наташи, она встала и быстро перебирая своими с бантиками башмачками, робея, одна пробежала через залу к углу, где сидел Денисов. Она видела, что все смотрят на нее и ждут. Николай видел, что Денисов и Наташа, улыбаясь, спорили и что Денисов отказывался, но РАДОСТНО улыбался. Он подбежал.",Том второй,Часть первая,XII
Николай Ростов; Наташа; Соня,"Ростов повиновался, оставил написанные восемьсот и поставил семерку червей с оторванным уголком, которую он поднял с земли. Он хорошо ее после помнил. Он поставил семерку червей, надписав над ней отломанным мелком восемьсот, круглыми, прямыми цифрами; выпил поданный стакан согревшегося шампанского, улыбнулся на слова Долохова и, с замиранием сердца ожидая семерки, стал смотреть на руки Долохова, державшие колоду. Выигрыш или проигрыш этой семерки червей означал многое для Ростова. В воскресенье на прошлой неделе граф Илья Андреич дал своему сыну две тысячи рублей, и он, никогда не любивший говорить о денежных затруднениях, сказал ему, что деньги эти были последние до мая и что потому он просил сына быть на этот раз поэкономнее. Николай сказал, что ему и это слишком много и что он дает честное слово не брать больше денег до весны. Теперь из этих денег оставалось тысяча двести рублей. Стало быть, семерка червей означала не только проигрыш тысячи шестисот рублей, но и необходимость изменения данному слову. Он с замиранием сердца смотрел на руки Долохова и думал: «Ну, скорей, дай мне эту карту, и я беру фуражку, уезжаю домой ужинать с Денисовым, Наташей и Соней, и уж верно никогда в руках моих не будет карты». В эту минуту домашняя жизнь его — шуточки с Петей, разговоры с Соней, дуэты с Наташей, пикет с отцом и даже спокойная постель в Поварском доме — с такой силою, ясностью и прелестью представилась ему, как будто все это было давно прошедшее, потерянное и неоцененное СЧАСТЬЕ. Он не мог допустить, чтобы глупая случайность, заставив семерку лечь прежде направо, чем налево, могла бы лишить его всего этого вновь понятого, вновь освещенного СЧАСТЬЯ и повергнуть его в пучину еще не испытанного и неопределенного несчастия. Это не могло быть, но он все-таки ожидал с замиранием движения рук Долохова. Ширококостые, красноватые руки эти с волосами, видневшимися из-под рубашки, положили колоду карт и взялись за подаваемый стакан и трубку.",Том второй,Часть первая,XIII
